"Id","SalePrice"
1461,126019.068090845
1462,150738.088793442
1463,180677.669410156
1464,183622.310804663
1465,192067.358756599
1466,183398.784543236
1467,171844.572461672
1468,175182.265968391
1469,180112.492250866
1470,127476.070702373
1471,184694.068744904
1472,100410.625356088
1473,96804.3857816589
1474,149232.052298373
1475,133306.04845515
1476,355532.420392187
1477,251904.702558109
1478,304624.586539554
1479,266647.358846354
1480,454916.41630745
1481,309446.070837702
1482,209069.442482064
1483,176632.888540792
1484,171306.516866912
1485,173750.154943586
1486,197982.953918671
1487,312835.362031075
1488,235792.81841487
1489,205562.735888198
1490,203969.079991353
1491,192261.392188594
1492,105523.632431031
1493,169786.390003807
1494,299340.961424811
1495,291778.190225882
1496,225722.31074997
1497,186890.392497677
1498,156641.725387304
1499,155667.473235951
1500,164212.524127599
1501,172468.302379203
1502,161089.907591549
1503,264587.844087813
1504,230753.675501638
1505,218206.774488944
1506,188853.769722776
1507,235042.032740002
1508,189673.479437153
1509,168045.501832746
1510,151547.915787924
1511,150273.039724282
1512,161456.631459487
1513,147413.058171408
1514,142677.845906309
1515,170566.072312047
1516,150824.618330731
1517,148452.794542408
1518,135332.563303653
1519,204143.89006307
1520,138351.876464673
1521,143184.714450265
1522,160375.627276886
1523,122948.651173058
1524,126918.224576736
1525,125305.469344311
1526,126973.073139902
1527,106761.426834452
1528,130015.768017821
1529,144431.417253661
1530,162978.88282979
1531,126436.801412773
1532,101973.557920969
1533,137812.310372849
1534,116885.441484582
1535,143507.961926587
1536,116180.998769377
1537,78903.6893444992
1538,147270.178063657
1539,181005.336049076
1540,117447.74982293
1541,143300.649471949
1542,143249.937922784
1543,171795.985224171
1544,87284.6184766173
1545,104129.645582505
1546,121892.550970678
1547,133808.252145184
1548,132596.321705133
1549,111908.541166385
1550,141940.860659407
1551,114578.499239535
1552,132895.150354286
1553,135412.45661305
1554,113772.751064276
1555,178667.80414073
1556,118485.782947513
1557,121740.866830616
1558,97819.2324945415
1559,112864.905832969
1560,145974.012801805
1561,135898.220764228
1562,127008.26149052
1563,126455.144069855
1564,154539.17163576
1565,153039.864335151
1566,221773.786252318
1567,90031.7662603498
1568,218057.07532723
1569,138583.019220307
1570,129187.3278553
1571,128437.23009014
1572,141962.774619495
1573,212632.178577423
1574,121068.710491696
1575,202255.828346267
1576,213895.879824691
1577,198497.404651016
1578,147956.114124225
1579,142466.032746064
1580,190976.435790178
1581,138739.155062803
1582,131892.449785492
1583,298428.291755966
1584,234699.938689503
1585,141760.140963971
1586,78055.7756989182
1587,104460.708412974
1588,144619.097653567
1589,101031.899919853
1590,132071.156738777
1591,105803.042611816
1592,124401.114351523
1593,117058.807652073
1594,132239.34082514
1595,124572.740476601
1596,226331.752991619
1597,178152.796293865
